nest ID;call ID;dummy;enemy type;pres order;stage;date;PC;chick age;Philornis;time;approach;spp pres;ind pres;tot ind pres;ind alarm;tot ind alarm;parents alarm;parents alarm 1;parents pres;alarm calls;latency arrival;latency alarm;latency exit;latency exit pair;total time in;visibility;cloud cov;wind;peak freq;parents call initial;closest nb;number nb;number nest spp;sgf nb;nest height;hilo pattern
wfcrt03;wfcrt03-2;Owl;predator;2;Feeding;24.02.2024;PC;9;0;06:19:00;2;3;3;5;0;1;1;1;2;523;240;3;;;300;70;10;1;7775.443909;1;13.6;2;1;0;4.5;1
wfcrt03;wfcrt03-3;SGF;usurper;3;Feeding;24.02.2024;PC;9;0;07:14:00;0.5;1;1;2;0;1;1;1;1;170;60;11;;;300;70;10;1;7123.1836;1;13.6;2;1;0;4.5;0
wfcrt03;wfcrt03-4;Control;control;4;Feeding;24.02.2024;PC;9;0;08:21:00;1;0;0;1;0;1;1;1;1;19;0;8;60;;60;70;0;0;7562.461;1;13.6;2;1;0;4.5;
wfcrt06;wfcrt06-1;Control;control;1;Building;20.02.2024;;;;10:09:00;3;0;0;1;0;0;0;0;1;0;60;;94;;94;70;100;0;;;;0;1;0;5;
wfcrt07;wfcrt07-1;Control;control;1;Feeding;11.03.2024;;7;10;07:14:00;2;1;2;4;0;2;2;1;2;339;0;0;;;300;100;70;0;5822.5778;2;13.7;1;2;0;7.5;
wfcrt07;wfcrt07-2;SGF;usurper;2;Feeding;11.03.2024;;7;10;08:36:00;2;0;0;1;0;1;1;1;1;213;120;37;;;300;100;70;0;5951.7773;1;13.7;1;2;0;7.5;
wfcrt07;wfcrt07-3;Owl;predator;3;Feeding;11.03.2024;;7;10;09:34:00;4;0;0;2;0;1;1;1;2;243;0;0;230;230;230;100;100;0;6001.3037;1;13.7;1;2;0;7.5;
wfcrt07;wfcrt07-4;Ani;predator;4;Feeding;11.03.2024;;7;10;10:41:00;3;1;2;4;0;2;2;1;2;385;120;2;;;300;100;90;0;6126.196083;2;13.7;1;2;0;7.5;1
wfcrt11;wfcrt11-1;Owl;predator;1;Feeding;15.03.2024;;4;45;06:57:00;1.5;1;5;7;2;4;2;1;2;802;840;0;;;300;90;10;0;8630.5079;2;;0;1;0;4;1
wfcrt11;wfcrt11-2;SGF;usurper;2;Feeding;15.03.2024;;4;45;08:24:00;1.5;0;0;2;0;2;2;1;2;549;180;3;;;300;90;10;0;8621.8944;2;;0;1;0;4;1
wfcrt11;wfcrt11-3;Ani;predator;3;Feeding;15.03.2024;;4;45;09:51:00;1.5;2;3;5;0;2;2;1;2;550;240;0;;;300;90;10;0;7855.3125;2;;0;1;0;4;1
wfcrt11;wfcrt11-4;Control;control;4;Feeding;15.03.2024;;4;45;10:52:00;3;1;1;3;0;2;2;1;2;118;0;16;;;300;90;90;0;8587.4413;2;;0;1;0;4;1
wfcrt12;wfcrt12-1;SGF;usurper;1;Building;06.03.2024;;;0;07:49:00;1;0;0;2;0;0;0;0;2;0;60;;;;300;80;0;0;;;2.8;1;2;0;6;1
wfcrt12;wfcrt12-2;Control;control;2;Building;06.03.2024;;;0;08:39:00;1;0;0;2;0;0;0;0;2;0;720;;168;168;168;80;0;1;;;2.8;1;2;0;6;
wfcrt12;wfcrt12-3;Ani;predator;3;Building;06.03.2024;;;0;09:41:00;1;1;1;3;0;0;0;0;2;0;60;;;;300;80;0;1;;;2.8;1;2;0;6;
